group,team,position,reference_probability,reference_hits,team_only_mean,team_only_seed_sd,team_only_absolute_error,team_only_zero_seeds,observed_mean,observed_seed_sd,observed_absolute_error,observed_zero_seeds,gap_mean,gap_seed_sd,gap_absolute_error,gap_zero_seeds
16498,7,20,3e-06,15,0.0,0.0,3e-06,20,3.629888926437726e-06,2.72009073024315e-06,6.298889264377258e-07,0,1.110646748492636e-05,1.9911632593229808e-06,8.10646748492636e-06,0
16498,8,1,0.0001966,983,0.00011806871038723575,0.00024334141981340434,7.853128961276426e-05,16,0.0011611360656683942,0.00030736709981073597,0.0009645360656683942,0,0.0005557147058230798,4.361676273923195e-05,0.0003591147058230798,0
16498,8,2,0.0074302,37151,0.006973831130978962,0.0025069313925222218,0.0004563688690210378,0,0.042927458684783766,0.0019462750610627281,0.03549725868478377,0,0.03731372522298309,0.0006966828857914706,0.02988352522298309,0
16498,8,3,0.374095,1870475,0.374473854278221,0.012466636443923762,0.00037885427822098583,0,0.32495502421671546,0.005181160974442331,0.04913997578328455,0,0.26958030010124917,0.005020984107720544,0.10451469989875084,0
16498,8,4,0.2655852,1327926,0.2624053628641935,0.014226512195718664,0.003179837135806496,0,0.26083447559803785,0.0023678612626234536,0.00475072440196217,0,0.24262345139919042,0.0031620841182154356,0.0229617486008096,0
16498,8,5,0.1832684,916342,0.18352845094668035,0.008858368186485013,0.0002600509466803569,0,0.1794216578847071,0.003022486573004643,0.0038467421152929004,0,0.19202452422252347,0.003963232585390714,0.008756124222523476,0
16498,8,6,0.0982398,491199,0.09894943398951499,0.008667608261940843,0.000709633989514985,0,0.10663014253429007,0.0023544205119737155,0.008390342534290066,0,0.13454952241858995,0.003506720708720346,0.03630972241858994,0
16498,8,7,0.0433798,216899,0.04447710763793242,0.005852165647373204,0.001097307637932414,0,0.05218488216829782,0.0014989989081508352,0.008805082168297819,0,0.07483549766336875,0.002089807470717959,0.03145569766336875,0
16498,8,8,0.017424,87120,0.017929847573173386,0.003683670631707432,0.0005058475731733875,0,0.02110704157755839,0.0005696198578031496,0.0036830415775583915,0,0.032196963692580766,0.001212665842309805,0.014772963692580767,0
16498,8,9,0.006776,33880,0.006070144685666799,0.002520561479050219,0.000705855314333201,0,0.007477900860449039,0.0002234187358834751,0.0007019008604490394,0,0.011340766586266171,0.0004212937967186827,0.0045647665862661715,0
16498,8,10,0.0024752,12376,0.0020542627133286685,0.0017986878746252576,0.00042093728667133134,4,0.0024117501144857246,0.00012740275989289393,6.344988551427533e-05,0,0.0035860649516916013,0.00013828311717077499,0.0011108649516916014,0
16498,8,11,0.0008186,4093,0.0004425844351082231,0.000747977823390694,0.00037601556489177685,12,0.0006794175348606105,4.341396844629213e-05,0.00013918246513938942,0,0.0010542385438066558,6.581918111104442e-05,0.00023563854380665588,0
16498,8,12,0.0002408,1204,0.00032584451529816156,0.0006757241314408868,8.504451529816156e-05,14,0.00017174584407585503,1.7512777793838353e-05,6.905415592414497e-05,0,0.0002675206635196676,1.9556833117031814e-05,2.6720663519667583e-05,0
16498,8,13,5.98e-05,299,3.1477797309622895e-07,1.407729891325536e-06,5.948522202690377e-05,19,3.2765004943449555e-05,4.767545589432738e-06,2.703499505655044e-05,0,6.061795146134297e-05,6.55713164751061e-06,8.1795146134297e-07,0
16498,8,14,1e-05,50,0.0,0.0,1e-05,20,4.181383590461628e-06,9.348415170138155e-07,5.818616409538373e-06,0,9.966710290626508e-06,1.6159672380469057e-06,3.3289709373493254e-08,0
16498,8,15,6e-07,3,0.0,0.0,6e-07,20,4.093294042947995e-07,2.3309623739589632e-07,1.906705957052005e-07,0,1.0396668773209687e-06,2.629684678347418e-07,4.3966687732096876e-07,0
16498,8,16,0,0,0.0,0.0,0.0,20,1.0810473737303565e-08,1.044643398469843e-08,1.0810473737303565e-08,7,8.37999764453111e-08,4.982078014453712e-08,8.37999764453111e-08,0
16498,8,17,0,0,0.0,0.0,0.0,20,3.8765760233525737e-10,1.7336575016324335e-09,3.8765760233525737e-10,19,1.6525843587552022e-09,1.6368295299635058e-09,1.6525843587552022e-09,7
16498,8,18,0,0,0.0,0.0,0.0,20,0.0,0.0,0.0,20,4.721669596443435e-11,2.111594836988304e-10,4.721669596443435e-11,19
16498,8,19,0,0,0.0,0.0,0.0,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20
16498,8,20,0,0,0.0,0.0,0.0,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20
16498,10,1,0,0,0.0,0.0,0.0,20,0.0,0.0,0.0,20,2.3144351951351935e-09,1.4962394779047657e-09,2.3144351951351935e-09,0
16498,10,2,2e-07,1,0.0,0.0,2e-07,20,1.4684523299871075e-07,6.919858654284764e-08,5.315476700128924e-08,0,1.6456707187156104e-05,1.9759180959146403e-06,1.6256707187156103e-05,0
16498,10,3,0.0001648,824,5.554088287005539e-05,0.00015659986830000316,0.00010925911712994461,17,0.00023551849403186378,2.257020712341929e-05,7.071849403186378e-05,0,0.00020601079560535434,1.5452269426992585e-05,4.121079560535435e-05,0
16498,10,4,0.0008658,4329,0.0006018626455303292,0.0008704131988384202,0.00026393735446967085,7,0.001307398550351624,7.851990399422637e-05,0.00044159855035162405,0,0.0010977661283845112,5.186381759035231e-05,0.00023196612838451115,0
16498,10,5,0.003285,16425,0.003039438941780529,0.0016554369470563155,0.00024556105821947095,0,0.004720571330801851,0.00014947941160024528,0.0014355713308018508,0,0.00442016829374104,0.00013961082911179216,0.0011351682937410395,0
16498,10,6,0.0104892,52446,0.009851512535548109,0.0020434002918976826,0.0006376874644518915,0,0.013942676073963938,0.00038463478530772826,0.003453476073963938,0,0.014107630509127226,0.00045412787463010215,0.0036184305091272254,0
16498,10,7,0.0258058,129029,0.024659331342935593,0.004560191778373851,0.0011464686570644075,0,0.03232269513230376,0.0009637349147591691,0.0065168951323037565,0,0.03388034929730151,0.0009151173927431655,0.008074549297301507,0
16498,10,8,0.048463,242315,0.04971512273387237,0.006933667913540973,0.001252122733872374,0,0.05814456129465602,0.0013356204305543455,0.00968156129465602,0,0.06071887043429086,0.0015497990014866863,0.012255870434290862,0
